year mon day euro
2008 11 18 1.269
2008 11 19 1.2595
2008 11 20 1.2525
2008 11 21 1.2531
2008 11 24 1.289
2008 11 25 1.303
2008 11 26 1.2828
2008 11 28 1.2694
2008 12 1 1.2634
2008 12 2 1.2724
2008 12 3 1.2669
2008 12 4 1.284
2008 12 5 1.2654
2008 12 8 1.2942
2008 12 9 1.2937
2008 12 10 1.3024
2008 12 11 1.3294
2008 12 12 1.3349
2008 12 15 1.3664
2008 12 16 1.381
2008 12 17 1.4358
2008 12 18 1.4298
2008 12 19 1.3875
2008 12 22 1.3952
2008 12 23 1.3966
2008 12 24 1.3964
2008 12 26 1.4062
2008 12 29 1.4232
2008 12 30 1.4085
2008 12 31 1.3919
2009 1 2 1.3946
2009 1 5 1.3576
2009 1 6 1.3445
2009 1 7 1.3718
2009 1 8 1.3714
2009 1 9 1.3495
2009 1 12 1.3347
2009 1 13 1.3198
2009 1 14 1.3174
2009 1 15 1.3094
2009 1 16 1.3244
2009 1 20 1.2946
2009 1 21 1.287
2009 1 22 1.2955
2009 1 23 1.2849
2009 1 26 1.3123
2009 1 27 1.3159
2009 1 28 1.3244
2009 1 29 1.2988
2009 1 30 1.2804
2009 2 2 1.2808
2009 2 3 1.301
2009 2 4 1.2857
2009 2 5 1.2838
2009 2 6 1.2874
2009 2 9 1.3064
2009 2 10 1.2966
2009 2 11 1.2893
2009 2 12 1.2822
2009 2 13 1.2879
2009 2 17 1.2571
2009 2 18 1.2547
2009 2 19 1.2675
2009 2 20 1.269
2009 2 23 1.2747
2009 2 24 1.2742
2009 2 25 1.2731
2009 2 26 1.2764
2009 2 27 1.2662
2009 3 2 1.258
2009 3 3 1.2549
2009 3 4 1.2607
2009 3 5 1.2565
2009 3 6 1.2674
2009 3 9 1.2636
2009 3 10 1.2752
2009 3 11 1.2774
2009 3 12 1.2799
2009 3 13 1.2891
2009 3 16 1.2997
2009 3 17 1.2972
2009 3 18 1.311
2009 3 19 1.373
2009 3 20 1.3566
2009 3 23 1.3569
2009 3 24 1.3524
2009 3 25 1.3539
2009 3 26 1.356
2009 3 27 1.3306
2009 3 30 1.3146
2009 3 31 1.3261
2009 4 1 1.3223
2009 4 2 1.3458
2009 4 3 1.3447
2009 4 6 1.3363
2009 4 7 1.3282
2009 4 8 1.3288
2009 4 9 1.3149
2009 4 10 1.3143
2009 4 13 1.3354
2009 4 14 1.3277
2009 4 15 1.3182
2009 4 16 1.3197
2009 4 17 1.303
2009 4 20 1.2903
2009 4 21 1.2978
2009 4 22 1.3012
2009 4 23 1.3048
2009 4 24 1.3277
2009 4 27 1.3136
2009 4 28 1.3061
2009 4 29 1.3324
2009 4 30 1.3244
2009 5 1 1.3267
2009 5 4 1.3365
2009 5 5 1.3375
2009 5 6 1.3313
2009 5 7 1.3411
2009 5 8 1.3494
2009 5 11 1.362
2009 5 12 1.3638
2009 5 13 1.3612
2009 5 14 1.3608
2009 5 15 1.3539
2009 5 18 1.3503
2009 5 19 1.3608
2009 5 20 1.3765
2009 5 21 1.3804
2009 5 22 1.4005
2009 5 26 1.3992
2009 5 27 1.3924
2009 5 28 1.3948
2009 5 29 1.4126
2009 6 1 1.4192
2009 6 2 1.427
2009 6 3 1.4194
2009 6 4 1.4187
2009 6 5 1.399
2009 6 8 1.3884
2009 6 9 1.4014
2009 6 10 1.3983
2009 6 11 1.4093
2009 6 12 1.404
2009 6 15 1.3784
2009 6 16 1.3878
2009 6 17 1.385
2009 6 18 1.3978
2009 6 19 1.3998
2009 6 22 1.3846
2009 6 23 1.4035
2009 6 24 1.4015
2009 6 25 1.3953
2009 6 26 1.4056
2009 6 29 1.4058
2009 6 30 1.402
2009 7 1 1.4186
2009 7 2 1.4018
2009 7 3 1.3991
2009 7 6 1.3938
2009 7 7 1.3965
2009 7 8 1.3852
2009 7 9 1.4026
2009 7 10 1.3926
2009 7 13 1.3973
2009 7 14 1.3971
2009 7 15 1.4116
2009 7 16 1.4115
2009 7 17 1.412
2009 7 20 1.4211
2009 7 21 1.4196
2009 7 22 1.422
2009 7 23 1.4266
2009 7 24 1.4213
2009 7 27 1.4212
2009 7 28 1.4215
2009 7 29 1.4033
2009 7 30 1.4066
2009 7 31 1.4279
2009 8 3 1.4416
2009 8 4 1.44
2009 8 5 1.4391
2009 8 6 1.4357
2009 8 7 1.418
2009 8 10 1.4143
2009 8 11 1.4141
2009 8 12 1.4215
2009 8 13 1.4283
2009 8 14 1.4216
2009 8 17 1.4088
2009 8 18 1.4075
2009 8 19 1.4262
2009 8 20 1.4235
2009 8 21 1.4305
2009 8 24 1.432
